participant_no,sentence_type,sentence_type_code,sentence_code,rating
1,main_post_verb,2,11a,3
1,relative_post_verb,4,11d,2
1,main_pre_verb,1,12b,2
1,relative_pre_verb,3,12c,3
1,main_post_verb,2,13a,4
1,relative_post_verb,4,13d,1
1,main_pre_verb,1,14b,2
1,relative_pre_verb,3,14c,1
1,main_post_verb,2,15a,4
1,relative_post_verb,4,15d,3
1,main_pre_verb,1,16b,5
1,relative_pre_verb,3,16c,5
1,main_post_verb,2,17a,1
1,relative_post_verb,4,17d,5
1,main_pre_verb,1,18b,5
1,relative_pre_verb,3,18c,5
1,main_post_verb,2,19a,5
1,relative_post_verb,4,19d,5
1,main_pre_verb,1,20b,4
1,relative_pre_verb,3,20c,4
2,main_post_verb,2,11a,5
2,relative_post_verb,4,11d,5
2,main_pre_verb,1,12b,5
2,relative_pre_verb,3,12c,5
2,main_post_verb,2,13a,5
2,relative_post_verb,4,13d,1
2,main_pre_verb,1,14b,4
2,relative_pre_verb,3,14c,5
2,main_post_verb,2,15a,5
2,relative_post_verb,4,15d,4
2,main_pre_verb,1,16b,5
2,relative_pre_verb,3,16c,5
2,main_post_verb,2,17a,5
2,relative_post_verb,4,17d,5
2,main_pre_verb,1,18b,5
2,relative_pre_verb,3,18c,1
2,main_post_verb,2,19a,5
2,relative_post_verb,4,19d,1
2,main_pre_verb,1,20b,1
2,relative_pre_verb,3,20c,5
3,main_post_verb,2,11a,5
3,relative_post_verb,4,11d,4
3,main_pre_verb,1,12b,2
3,relative_pre_verb,3,12c,1
3,main_post_verb,2,13a,5
3,relative_post_verb,4,13d,3
3,main_pre_verb,1,14b,1
3,relative_pre_verb,3,14c,1
3,main_post_verb,2,15a,5
3,relative_post_verb,4,15d,2
3,main_pre_verb,1,16b,2
3,relative_pre_verb,3,16c,1
3,main_post_verb,2,17a,5
3,relative_post_verb,4,17d,2
3,main_pre_verb,1,18b,4
3,relative_pre_verb,3,18c,4
3,main_post_verb,2,19a,5
3,relative_post_verb,4,19d,2
3,main_pre_verb,1,20b,4
3,relative_pre_verb,3,20c,4
4,main_post_verb,2,11a,2
4,relative_post_verb,4,11d,3
4,main_pre_verb,1,12b,2
4,relative_pre_verb,3,12c,2
4,main_post_verb,2,13a,4
4,relative_post_verb,4,13d,4
4,main_pre_verb,1,14b,2
4,relative_pre_verb,3,14c,3
4,main_post_verb,2,15a,2
4,relative_post_verb,4,15d,3
4,main_pre_verb,1,16b,4
4,relative_pre_verb,3,16c,4
4,main_post_verb,2,17a,2
4,relative_post_verb,4,17d,1
4,main_pre_verb,1,18b,4
4,relative_pre_verb,3,18c,4
4,main_post_verb,2,19a,4
4,relative_post_verb,4,19d,4
4,main_pre_verb,1,20b,4
4,relative_pre_verb,3,20c,4
5,main_post_verb,2,11a,1
5,relative_post_verb,4,11d,4
5,main_pre_verb,1,12b,1
5,relative_pre_verb,3,12c,5
5,main_post_verb,2,13a,4
5,relative_post_verb,4,13d,5
5,main_pre_verb,1,14b,2
5,relative_pre_verb,3,14c,3
5,main_post_verb,2,15a,1
5,relative_post_verb,4,15d,1
5,main_pre_verb,1,16b,1
5,relative_pre_verb,3,16c,5
5,main_post_verb,2,17a,1
5,relative_post_verb,4,17d,2
5,main_pre_verb,1,18b,4
5,relative_pre_verb,3,18c,2
5,main_post_verb,2,19a,5
5,relative_post_verb,4,19d,4
5,main_pre_verb,1,20b,2
5,relative_pre_verb,3,20c,1
6,main_post_verb,2,11a,4
6,relative_post_verb,4,11d,5
6,main_pre_verb,1,12b,3
6,relative_pre_verb,3,12c,5
6,main_post_verb,2,13a,4
6,relative_post_verb,4,13d,5
6,main_pre_verb,1,14b,4
6,relative_pre_verb,3,14c,2
6,main_post_verb,2,15a,4
6,relative_post_verb,4,15d,5
6,main_pre_verb,1,16b,4
6,relative_pre_verb,3,16c,1
6,main_post_verb,2,17a,4
6,relative_post_verb,4,17d,5
6,main_pre_verb,1,18b,5
6,relative_pre_verb,3,18c,4
6,main_post_verb,2,19a,5
6,relative_post_verb,4,19d,5
6,main_pre_verb,1,20b,4
6,relative_pre_verb,3,20c,5
7,main_post_verb,2,11a,5
7,relative_post_verb,4,11d,5
7,main_pre_verb,1,12b,1
7,relative_pre_verb,3,12c,1
7,main_post_verb,2,13a,5
7,relative_post_verb,4,13d,2
7,main_pre_verb,1,14b,1
7,relative_pre_verb,3,14c,1
7,main_post_verb,2,15a,1
7,relative_post_verb,4,15d,4
7,main_pre_verb,1,16b,1
7,relative_pre_verb,3,16c,3
7,main_post_verb,2,17a,5
7,relative_post_verb,4,17d,4
7,main_pre_verb,1,18b,2
7,relative_pre_verb,3,18c,5
7,main_post_verb,2,19a,2
7,relative_post_verb,4,19d,5
7,main_pre_verb,1,20b,5
7,relative_pre_verb,3,20c,5
8,main_post_verb,2,11a,4
8,relative_post_verb,4,11d,2
8,main_pre_verb,1,12b,2
8,relative_pre_verb,3,12c,2
8,main_post_verb,2,13a,3
8,relative_post_verb,4,13d,2
8,main_pre_verb,1,14b,5
8,relative_pre_verb,3,14c,4
8,main_post_verb,2,15a,5
8,relative_post_verb,4,15d,3
8,main_pre_verb,1,16b,2
8,relative_pre_verb,3,16c,1
8,main_post_verb,2,17a,5
8,relative_post_verb,4,17d,5
8,main_pre_verb,1,18b,2
8,relative_pre_verb,3,18c,4
8,main_post_verb,2,19a,1
8,relative_post_verb,4,19d,2
8,main_pre_verb,1,20b,3
8,relative_pre_verb,3,20c,5
9,main_pre_verb,1,11b,5
9,relative_pre_verb,3,11c,5
9,main_post_verb,2,12a,2
9,relative_post_verb,4,12d,1
9,main_pre_verb,1,13b,3
9,relative_pre_verb,3,13c,5
9,main_post_verb,2,14a,5
9,relative_post_verb,4,14d,1
9,main_pre_verb,1,15b,5
9,relative_pre_verb,3,15c,5
9,main_post_verb,2,16a,5
9,relative_post_verb,4,16d,1
9,main_pre_verb,1,17b,2
9,relative_pre_verb,3,17c,5
9,main_post_verb,2,18a,5
9,relative_post_verb,4,18d,1
9,main_pre_verb,1,19b,5
9,relative_pre_verb,3,19c,5
9,main_post_verb,2,20a,5
9,relative_post_verb,4,20d,5
10,main_pre_verb,1,11b,3
10,relative_pre_verb,3,11c,4
10,main_post_verb,2,12a,5
10,relative_post_verb,4,12d,5
10,main_pre_verb,1,13b,4
10,relative_pre_verb,3,13c,1
10,main_post_verb,2,14a,4
10,relative_post_verb,4,14d,2
10,main_pre_verb,1,15b,2
10,relative_pre_verb,3,15c,3
10,main_post_verb,2,16a,2
10,relative_post_verb,4,16d,4
10,main_pre_verb,1,17b,4
10,relative_pre_verb,3,17c,2
10,main_post_verb,2,18a,2
10,relative_post_verb,4,18d,2
10,main_pre_verb,1,19b,5
10,relative_pre_verb,3,19c,4
10,main_post_verb,2,20a,4
10,relative_post_verb,4,20d,1
11,main_pre_verb,1,11b,4
11,relative_pre_verb,3,11c,5
11,main_post_verb,2,12a,5
11,relative_post_verb,4,12d,1
11,main_pre_verb,1,13b,2
11,relative_pre_verb,3,13c,2
11,main_post_verb,2,14a,3
11,relative_post_verb,4,14d,1
11,main_pre_verb,1,15b,3
11,relative_pre_verb,3,15c,4
11,main_post_verb,2,16a,3
11,relative_post_verb,4,16d,3
11,main_pre_verb,1,17b,2
11,relative_pre_verb,3,17c,5
11,main_post_verb,2,18a,4
11,relative_post_verb,4,18d,4
11,main_pre_verb,1,19b,2
11,relative_pre_verb,3,19c,3
11,main_post_verb,2,20a,5
11,relative_post_verb,4,20d,3
12,main_pre_verb,1,11b,4
12,relative_pre_verb,3,11c,3
12,main_post_verb,2,12a,5
12,relative_post_verb,4,12d,1
12,main_pre_verb,1,13b,5
12,relative_pre_verb,3,13c,5
12,main_post_verb,2,14a,4
12,relative_post_verb,4,14d,1
12,main_pre_verb,1,15b,3
12,relative_pre_verb,3,15c,4
12,main_post_verb,2,16a,2
12,relative_post_verb,4,16d,2
12,main_pre_verb,1,17b,5
12,relative_pre_verb,3,17c,5
12,main_post_verb,2,18a,4
12,relative_post_verb,4,18d,2
12,main_pre_verb,1,19b,4
12,relative_pre_verb,3,19c,2
12,main_post_verb,2,20a,4
12,relative_post_verb,4,20d,3
13,main_pre_verb,1,11b,1
13,relative_pre_verb,3,11c,4
13,main_post_verb,2,12a,5
13,relative_post_verb,4,12d,4
13,main_pre_verb,1,13b,1
13,relative_pre_verb,3,13c,2
13,main_post_verb,2,14a,5
13,relative_post_verb,4,14d,5
13,main_pre_verb,1,15b,1
13,relative_pre_verb,3,15c,2
13,main_post_verb,2,16a,5
13,relative_post_verb,4,16d,1
13,main_pre_verb,1,17b,5
13,relative_pre_verb,3,17c,5
13,main_post_verb,2,18a,4
13,relative_post_verb,4,18d,2
13,main_pre_verb,1,19b,5
13,relative_pre_verb,3,19c,3
13,main_post_verb,2,20a,4
13,relative_post_verb,4,20d,3
14,main_pre_verb,1,11b,3
14,relative_pre_verb,3,11c,4
14,main_post_verb,2,12a,4
14,relative_post_verb,4,12d,1
14,main_pre_verb,1,13b,3
14,relative_pre_verb,3,13c,5
14,main_post_verb,2,14a,4
14,relative_post_verb,4,14d,1
14,main_pre_verb,1,15b,3
14,relative_pre_verb,3,15c,5
14,main_post_verb,2,16a,3
14,relative_post_verb,4,16d,2
14,main_pre_verb,1,17b,1
14,relative_pre_verb,3,17c,5
14,main_post_verb,2,18a,5
14,relative_post_verb,4,18d,4
14,main_pre_verb,1,19b,4
14,relative_pre_verb,3,19c,1
14,main_post_verb,2,20a,3
14,relative_post_verb,4,20d,3
15,main_pre_verb,1,11b,4
15,relative_pre_verb,3,11c,4
15,main_post_verb,2,12a,3
15,relative_post_verb,4,12d,2
15,main_pre_verb,1,13b,3
15,relative_pre_verb,3,13c,5
15,main_post_verb,2,14a,5
15,relative_post_verb,4,14d,1
15,main_pre_verb,1,15b,3
15,relative_pre_verb,3,15c,4
15,main_post_verb,2,16a,4
15,relative_post_verb,4,16d,4
15,main_pre_verb,1,17b,2
15,relative_pre_verb,3,17c,5
15,main_post_verb,2,18a,4
15,relative_post_verb,4,18d,3
15,main_pre_verb,1,19b,4
15,relative_pre_verb,3,19c,4
15,main_post_verb,2,20a,4
15,relative_post_verb,4,20d,4
